Team 1,Team 2,Winner,Margin,Ground,Match Date,ODI No
West Indies,India,India,5 wickets,Kingston,"May 18, 2006",ODI # 2377
Bermuda,Zimbabwe,Zimbabwe,83 runs,Port of Spain,"May 20, 2006",ODI # 2378
West Indies,India,West Indies,1 run,Kingston,"May 20, 2006",ODI # 2379
West Indies,India,West Indies,4 wickets,Basseterre,"May 23, 2006",ODI # 2380
West Indies,India,West Indies,6 wickets,Port of Spain,"May 26, 2006",ODI # 2381
West Indies,India,West Indies,19 runs,Port of Spain,"May 28, 2006",ODI # 2382
Ireland,England,England,38 runs,Belfast,"Jun 13, 2006",ODI # 2383
England,Sri Lanka,Sri Lanka,20 runs,Lord's,"Jun 17, 2006",ODI # 2384
England,Sri Lanka,Sri Lanka,46 runs,The Oval,"Jun 20, 2006",ODI # 2385
England,Sri Lanka,Sri Lanka,8 wickets,Chester-le-Street,"Jun 24, 2006",ODI # 2386
Scotland,Pakistan,Pakistan,5 wickets,Edinburgh,"Jun 27, 2006",ODI # 2387
England,Sri Lanka,Sri Lanka,33 runs,Manchester,"Jun 28, 2006",ODI # 2388
England,Sri Lanka,Sri Lanka,8 wickets,Leeds,"Jul 1, 2006",ODI # 2389
Netherlands,Sri Lanka,Sri Lanka,195 runs,Amstelveen,"Jul 4, 2006",ODI # 2390
Netherlands,Sri Lanka,Sri Lanka,55 runs,Amstelveen,"Jul 6, 2006",ODI # 2391
Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare,"Jul 29, 2006",ODI # 2392
Zimbabwe,Bangladesh,Bangladesh,62 runs,Harare,"Jul 30, 2006",ODI # 2393
Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare,"Aug 2, 2006",ODI # 2394
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,"Aug 4, 2006",ODI # 2395
Scotland,Ireland,Ireland,85 runs,Ayr,"Aug 5, 2006",ODI # 2396
Canada,Kenya,Kenya,108 runs,Toronto,"Aug 5, 2006",ODI # 2397
Zimbabwe,Bangladesh,Bangladesh,8 wickets,Harare,"Aug 6, 2006",ODI # 2398
Scotland,Netherlands,Scotland,4 wickets,Ayr,"Aug 6, 2006",ODI # 2399
Canada,Kenya,Kenya,5 wickets,Toronto,"Aug 6, 2006",ODI # 2400
Ireland,Netherlands,no result,,Ayr,"Aug 8, 2006",ODI # 2401
Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym),"Aug 12, 2006",ODI # 2402
Kenya,Bangladesh,Bangladesh,2 wickets,Nairobi (Gym),"Aug 13, 2006",ODI # 2403
Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym),"Aug 15, 2006",ODI # 2404
Sri Lanka,India,no result,,Colombo (SSC),"Aug 18-19, 2006",ODI # 2405
Canada,Bermuda,Bermuda,6 wickets,Toronto,"Aug 19, 2006",ODI # 2406
Canada,Bermuda,Bermuda,11 runs,Toronto,"Aug 21, 2006",ODI # 2407
England,Pakistan,no result,,Cardiff,"Aug 30, 2006",ODI # 2408
England,Pakistan,Pakistan,7 wickets,Lord's,"Sep 2, 2006",ODI # 2409
England,Pakistan,Pakistan,2 wickets,Southampton,"Sep 5, 2006",ODI # 2410
England,Pakistan,England,8 wickets,Nottingham,"Sep 8, 2006",ODI # 2411
England,Pakistan,England,3 wickets,Birmingham,"Sep 10, 2006",ODI # 2412
Australia,West Indies,Australia,78 runs,Kuala Lumpur,"Sep 12, 2006",ODI # 2413
India,West Indies,West Indies,29 runs,Kuala Lumpur,"Sep 14, 2006",ODI # 2414
South Africa,Zimbabwe,South Africa,5 wickets,Bloemfontein,"Sep 15, 2006",ODI # 2415
Australia,India,no result,,Kuala Lumpur,"Sep 16, 2006",ODI # 2416
Australia,West Indies,West Indies,3 wickets,Kuala Lumpur,"Sep 18, 2006",ODI # 2417
South Africa,Zimbabwe,South Africa,6 wickets,East London,"Sep 18, 2006",ODI # 2418
India,West Indies,India,16 runs,Kuala Lumpur,"Sep 20, 2006",ODI # 2419
South Africa,Zimbabwe,South Africa,171 runs,Potchefstroom,"Sep 20, 2006",ODI # 2420
Australia,India,Australia,18 runs,Kuala Lumpur,"Sep 22, 2006",ODI # 2421
Australia,West Indies,Australia,127 runs,Kuala Lumpur,"Sep 24, 2006",ODI # 2422
Bangladesh,Sri Lanka,Sri Lanka,37 runs,Mohali,"Oct 7, 2006",ODI # 2423
West Indies,Zimbabwe,West Indies,9 wickets,Ahmedabad,"Oct 8, 2006",ODI # 2424
Sri Lanka,Zimbabwe,Sri Lanka,144 runs,Ahmedabad,"Oct 10, 2006",ODI # 2425
Bangladesh,West Indies,West Indies,10 wickets,Jaipur,"Oct 11, 2006",ODI # 2426
Bangladesh,Zimbabwe,Bangladesh,101 runs,Jaipur,"Oct 13, 2006",ODI # 2427
Sri Lanka,West Indies,Sri Lanka,9 wickets,Mumbai (BS),"Oct 14, 2006",ODI # 2428
India,England,India,4 wickets,Jaipur,"Oct 15, 2006",ODI # 2429
New Zealand,South Africa,New Zealand,87 runs,Mumbai (BS),"Oct 16, 2006",ODI # 2430
Pakistan,Sri Lanka,Pakistan,4 wickets,Jaipur,"Oct 17, 2006",ODI # 2431
Australia,West Indies,West Indies,10 runs,Mumbai (BS),"Oct 18, 2006",ODI # 2432
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Mumbai (BS),"Oct 20, 2006",ODI # 2433
Australia,England,Australia,6 wickets,Jaipur,"Oct 21, 2006",ODI # 2434
South Africa,Sri Lanka,South Africa,78 runs,Ahmedabad,"Oct 24, 2006",ODI # 2435
New Zealand,Pakistan,New Zealand,51 runs,Mohali,"Oct 25, 2006",ODI # 2436
India,West Indies,West Indies,3 wickets,Ahmedabad,"Oct 26, 2006",ODI # 2437
Pakistan,South Africa,South Africa,124 runs,Mohali,"Oct 27, 2006",ODI # 2438
England,West Indies,England,3 wickets,Ahmedabad,"Oct 28, 2006",ODI # 2439
India,Australia,Australia,6 wickets,Mohali,"Oct 29, 2006",ODI # 2440
Australia,New Zealand,Australia,34 runs,Mohali,"Nov 1, 2006",ODI # 2441
South Africa,West Indies,West Indies,6 wickets,Jaipur,"Nov 2, 2006",ODI # 2442
Australia,West Indies,Australia,8 wickets,Mumbai (BS),"Nov 5, 2006",ODI # 2443
Kenya,Bermuda,Kenya,79 runs,Mombasa,"Nov 11, 2006",ODI # 2444
Kenya,Bermuda,Kenya,7 wickets,Mombasa,"Nov 12, 2006",ODI # 2445
Kenya,Bermuda,Kenya,104 runs,Mombasa,"Nov 14, 2006",ODI # 2446
South Africa,India,South Africa,157 runs,Durban,"Nov 22, 2006",ODI # 2447
Canada,Netherlands,Netherlands,17 runs,Potchefstroom,"Nov 26, 2006",ODI # 2448
South Africa,India,South Africa,106 runs,Cape Town,"Nov 26, 2006",ODI # 2449
Bermuda,Canada,Canada,5 wickets,Potchefstroom,"Nov 27, 2006",ODI # 2450
Bermuda,Netherlands,Netherlands,8 wickets,Potchefstroom,"Nov 28, 2006",ODI # 2451
South Africa,India,South Africa,80 runs,Port Elizabeth,"Nov 29, 2006",ODI # 2452
Bangladesh,Zimbabwe,Bangladesh,9 wickets,Khulna,"Nov 30, 2006",ODI # 2453
Bermuda,Canada,Canada,3 wickets,Benoni,"Nov 30, 2006",ODI # 2454
Canada,Netherlands,Netherlands,1 wicket,Benoni,"Dec 1, 2006",ODI # 2455
Bermuda,Netherlands,Bermuda,6 wickets,Benoni,"Dec 2, 2006",ODI # 2456
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Bogra,"Dec 3, 2006",ODI # 2457
South Africa,India,South Africa,9 wickets,Centurion,"Dec 3, 2006",ODI # 2458
Bangladesh,Zimbabwe,Bangladesh,26 runs,Bogra,"Dec 5, 2006",ODI # 2459
Pakistan,West Indies,Pakistan,2 wickets,Faisalabad,"Dec 7, 2006",ODI # 2460
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,"Dec 8, 2006",ODI # 2461
Bangladesh,Zimbabwe,Bangladesh,3 wickets,Dhaka,"Dec 9, 2006",ODI # 2462
Pakistan,West Indies,Pakistan,7 wickets,Lahore,"Dec 10, 2006",ODI # 2463
Pakistan,West Indies,West Indies,7 wickets,Multan,"Dec 13, 2006",ODI # 2464
Bangladesh,Scotland,Bangladesh,6 wickets,Chattogram,"Dec 15, 2006",ODI # 2465
Pakistan,West Indies,Pakistan,7 wickets,Karachi,"Dec 16, 2006",ODI # 2466
Bangladesh,Scotland,Bangladesh,146 runs,Dhaka,"Dec 17, 2006",ODI # 2467
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Napier,"Dec 28, 2006",ODI # 2468
New Zealand,Sri Lanka,New Zealand,1 wicket,Queenstown,"Dec 31, 2006",ODI # 2469
New Zealand,Sri Lanka,New Zealand,4 wickets,Christchurch,"Jan 2, 2007",ODI # 2470
New Zealand,Sri Lanka,Sri Lanka,189 runs,Auckland,"Jan 6, 2007",ODI # 2471
New Zealand,Sri Lanka,no result,,Hamilton,"Jan 9, 2007",ODI # 2472
Australia,England,Australia,8 wickets,Melbourne,"Jan 12, 2007",ODI # 2473
Australia,New Zealand,Australia,105 runs,Hobart,"Jan 14, 2007",ODI # 2474
England,New Zealand,England,3 wickets,Hobart,"Jan 16, 2007",ODI # 2475
Kenya,Scotland,Kenya,190 runs,Mombasa,"Jan 17, 2007",ODI # 2476
Canada,Scotland,Scotland,2 wickets,Mombasa,"Jan 18, 2007",ODI # 2477
Australia,England,Australia,4 wickets,Brisbane,"Jan 19, 2007",ODI # 2478
Australia,New Zealand,Australia,2 wickets,Sydney,"Jan 21, 2007",ODI # 2479
India,West Indies,India,14 runs,Nagpur,"Jan 21, 2007",ODI # 2480
Kenya,Scotland,Kenya,6 runs,Mombasa,"Jan 21, 2007",ODI # 2481
England,New Zealand,New Zealand,90 runs,Adelaide,"Jan 23, 2007",ODI # 2482
Canada,Scotland,Scotland,2 wickets,Mombasa,"Jan 23, 2007",ODI # 2483
Kenya,Canada,Canada,69 runs,Mombasa,"Jan 24, 2007",ODI # 2484
India,West Indies,India,20 runs,Cuttack,"Jan 24, 2007",ODI # 2485
Australia,England,Australia,9 wickets,Adelaide,"Jan 26, 2007",ODI # 2486
India,West Indies,West Indies,3 wickets,Chennai,"Jan 27, 2007",ODI # 2487
Australia,New Zealand,Australia,8 runs,Perth,"Jan 28, 2007",ODI # 2488
Kenya,Bermuda,Kenya,10 wickets,Nairobi (Jaff),"Jan 29, 2007",ODI # 2489
England,New Zealand,New Zealand,58 runs,Perth,"Jan 30, 2007",ODI # 2490
Canada,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka),"Jan 30, 2007",ODI # 2491
Ireland,Scotland,Scotland,3 wickets,Nairobi (Gym),"Jan 30, 2007",ODI # 2492
India,West Indies,India,160 runs,Vadodara,"Jan 31, 2007",ODI # 2493
Bermuda,Ireland,Ireland,4 wickets,Nairobi (Jaff),"Jan 31, 2007",ODI # 2494
Canada,Scotland,Scotland,7 runs,Nairobi (Ruaraka),"Jan 31, 2007",ODI # 2495
Kenya,Netherlands,Kenya,7 wickets,Nairobi (Gym),"Jan 31, 2007",ODI # 2496
Australia,England,England,92 runs,Sydney,"Feb 2, 2007",ODI # 2497
Bermuda,Canada,Canada,56 runs,Nairobi (Gym),"Feb 2, 2007",ODI # 2498
Kenya,Ireland,Kenya,1 wicket,Nairobi (Ruaraka),"Feb 2, 2007",ODI # 2499
Netherlands,Scotland,Scotland,2 runs,Nairobi (Jaff),"Feb 2, 2007",ODI # 2500
Australia,New Zealand,Australia,5 wickets,Melbourne,"Feb 4, 2007",ODI # 2501
Bermuda,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka),"Feb 4, 2007",ODI # 2502
Canada,Ireland,Canada,6 wickets,Nairobi (Jaff),"Feb 4, 2007",ODI # 2503
Kenya,Scotland,Scotland,77 runs,Nairobi (Gym),"Feb 4, 2007",ODI # 2504
Zimbabwe,Bangladesh,Bangladesh,45 runs,Harare,"Feb 4, 2007",ODI # 2505
South Africa,Pakistan,South Africa,164 runs,Centurion,"Feb 4, 2007",ODI # 2506
Bermuda,Scotland,Bermuda,5 wickets,Nairobi (Ruaraka),"Feb 5, 2007",ODI # 2507
Kenya,Canada,Kenya,158 runs,Nairobi (Jaff),"Feb 5, 2007",ODI # 2508
Ireland,Netherlands,Netherlands,6 runs,Nairobi (Gym),"Feb 5, 2007",ODI # 2509
England,New Zealand,England,14 runs,Brisbane,"Feb 6, 2007",ODI # 2510
Zimbabwe,Bangladesh,Zimbabwe,8 wickets,Harare,"Feb 6, 2007",ODI # 2511
Kenya,Scotland,Kenya,8 wickets,Nairobi (Gym),"Feb 7, 2007",ODI # 2512
South Africa,Pakistan,Pakistan,141 runs,Durban,"Feb 7, 2007",ODI # 2513
India,Sri Lanka,no result,,Kolkata,"Feb 8, 2007",ODI # 2514
Australia,England,England,4 wickets,Melbourne,"Feb 9, 2007",ODI # 2515
Zimbabwe,Bangladesh,Bangladesh,14 runs,Harare,"Feb 9, 2007",ODI # 2516
South Africa,Pakistan,no result,,Port Elizabeth,"Feb 9, 2007",ODI # 2517
Zimbabwe,Bangladesh,Bangladesh,1 wicket,Harare,"Feb 10, 2007",ODI # 2518
Australia,England,England,34 runs,Sydney,"Feb 11, 2007",ODI # 2519
India,Sri Lanka,Sri Lanka,5 runs,Rajkot,"Feb 11, 2007",ODI # 2520
South Africa,Pakistan,South Africa,10 wickets,Cape Town,"Feb 11, 2007",ODI # 2521
India,Sri Lanka,India,5 wickets,Margao,"Feb 14, 2007",ODI # 2522
South Africa,Pakistan,South Africa,9 wickets,Johannesburg,"Feb 14, 2007",ODI # 2523
New Zealand,Australia,New Zealand,10 wickets,Wellington,"Feb 16, 2007",ODI # 2524
India,Sri Lanka,India,7 wickets,Visakhapatnam,"Feb 17, 2007",ODI # 2525
New Zealand,Australia,New Zealand,5 wickets,Auckland,"Feb 18, 2007",ODI # 2526
New Zealand,Australia,New Zealand,1 wicket,Hamilton,"Feb 20, 2007",ODI # 2527
Bangladesh,Bermuda,Bangladesh,8 wickets,St John's,"Feb 25, 2007",ODI # 2528
Bermuda,Canada,Canada,3 wickets,St John's,"Feb 26, 2007",ODI # 2529
Bangladesh,Canada,Bangladesh,13 runs,St John's,"Feb 28, 2007",ODI # 2530
West Indies,Pakistan,West Indies,54 runs,Kingston,"Mar 13, 2007",ODI # 2531
Australia,Scotland,Australia,203 runs,Basseterre,"Mar 14, 2007",ODI # 2532
Canada,Kenya,Kenya,7 wickets,Gros Islet,"Mar 14, 2007",ODI # 2533
Bermuda,Sri Lanka,Sri Lanka,243 runs,Port of Spain,"Mar 15, 2007",ODI # 2534
Ireland,Zimbabwe,tied,,Kingston,"Mar 15, 2007",ODI # 2535
England,New Zealand,New Zealand,6 wickets,Gros Islet,"Mar 16, 2007",ODI # 2536
Netherlands,South Africa,South Africa,221 runs,Basseterre,"Mar 16, 2007",ODI # 2537
Bangladesh,India,Bangladesh,5 wickets,Port of Spain,"Mar 17, 2007",ODI # 2538
Ireland,Pakistan,Ireland,3 wickets,Kingston,"Mar 17, 2007",ODI # 2539
Australia,Netherlands,Australia,229 runs,Basseterre,"Mar 18, 2007",ODI # 2540
Canada,England,England,51 runs,Gros Islet,"Mar 18, 2007",ODI # 2541
Bermuda,India,India,257 runs,Port of Spain,"Mar 19, 2007",ODI # 2542
West Indies,Zimbabwe,West Indies,6 wickets,Kingston,"Mar 19, 2007",ODI # 2543
Kenya,New Zealand,New Zealand,148 runs,Gros Islet,"Mar 20, 2007",ODI # 2544
Scotland,South Africa,South Africa,7 wickets,Basseterre,"Mar 20, 2007",ODI # 2545
Bangladesh,Sri Lanka,Sri Lanka,198 runs,Port of Spain,"Mar 21, 2007",ODI # 2546
Pakistan,Zimbabwe,Pakistan,93 runs,Kingston,"Mar 21, 2007",ODI # 2547
Canada,New Zealand,New Zealand,114 runs,Gros Islet,"Mar 22, 2007",ODI # 2548
Netherlands,Scotland,Netherlands,8 wickets,Basseterre,"Mar 22, 2007",ODI # 2549
India,Sri Lanka,Sri Lanka,69 runs,Port of Spain,"Mar 23, 2007",ODI # 2550
West Indies,Ireland,West Indies,8 wickets,Kingston,"Mar 23, 2007",ODI # 2551
Australia,South Africa,Australia,83 runs,Basseterre,"Mar 24, 2007",ODI # 2552
England,Kenya,England,7 wickets,Gros Islet,"Mar 24, 2007",ODI # 2553
Bangladesh,Bermuda,Bangladesh,7 wickets,Port of Spain,"Mar 25, 2007",ODI # 2554
West Indies,Australia,Australia,103 runs,North Sound,"Mar 27-28, 2007",ODI # 2555
South Africa,Sri Lanka,South Africa,1 wicket,Providence,"Mar 28, 2007",ODI # 2556
West Indies,New Zealand,New Zealand,7 wickets,North Sound,"Mar 29, 2007",ODI # 2557
England,Ireland,England,48 runs,Providence,"Mar 30, 2007",ODI # 2558
Australia,Bangladesh,Australia,10 wickets,North Sound,"Mar 31, 2007",ODI # 2559
West Indies,Sri Lanka,Sri Lanka,113 runs,Providence,"Apr 1, 2007",ODI # 2560
Bangladesh,New Zealand,New Zealand,9 wickets,North Sound,"Apr 2, 2007",ODI # 2561
Ireland,South Africa,South Africa,7 wickets,Providence,"Apr 3, 2007",ODI # 2562
England,Sri Lanka,Sri Lanka,2 runs,North Sound,"Apr 4, 2007",ODI # 2563
Bangladesh,South Africa,Bangladesh,67 runs,Providence,"Apr 7, 2007",ODI # 2564
Australia,England,Australia,7 wickets,North Sound,"Apr 8, 2007",ODI # 2565
Ireland,New Zealand,New Zealand,129 runs,Providence,"Apr 9, 2007",ODI # 2566
West Indies,South Africa,South Africa,67 runs,St George's,"Apr 10, 2007",ODI # 2567
Bangladesh,England,England,4 wickets,Bridgetown,"Apr 11, 2007",ODI # 2568
New Zealand,Sri Lanka,Sri Lanka,6 wickets,St George's,"Apr 12, 2007",ODI # 2569
Australia,Ireland,Australia,9 wickets,Bridgetown,"Apr 13, 2007",ODI # 2570
New Zealand,South Africa,New Zealand,5 wickets,St George's,"Apr 14, 2007",ODI # 2571
Bangladesh,Ireland,Ireland,74 runs,Bridgetown,"Apr 15, 2007",ODI # 2572
Australia,Sri Lanka,Australia,7 wickets,St George's,"Apr 16, 2007",ODI # 2573
England,South Africa,South Africa,9 wickets,Bridgetown,"Apr 17, 2007",ODI # 2574
Ireland,Sri Lanka,Sri Lanka,8 wickets,St George's,"Apr 18, 2007",ODI # 2575
West Indies,Bangladesh,West Indies,99 runs,Bridgetown,"Apr 19, 2007",ODI # 2576
Australia,New Zealand,Australia,215 runs,St George's,"Apr 20, 2007",ODI # 2577
West Indies,England,England,1 wicket,Bridgetown,"Apr 21, 2007",ODI # 2578
New Zealand,Sri Lanka,Sri Lanka,81 runs,Kingston,"Apr 24, 2007",ODI # 2579
Australia,South Africa,Australia,7 wickets,Gros Islet,"Apr 25, 2007",ODI # 2580
Australia,Sri Lanka,Australia,53 runs,Bridgetown,"Apr 28, 2007",ODI # 2581
Bangladesh,India,India,5 wickets,Dhaka,"May 10, 2007",ODI # 2582
Bangladesh,India,India,46 runs,Dhaka,"May 12, 2007",ODI # 2583
Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,"May 18, 2007",ODI # 2584
Pakistan,Sri Lanka,Pakistan,98 runs,Abu Dhabi,"May 20, 2007",ODI # 2585
Pakistan,Sri Lanka,Sri Lanka,115 runs,Abu Dhabi,"May 22, 2007",ODI # 2586
Africa XI,Asia XI,Asia XI,34 runs,Bengaluru,"Jun 6, 2007",ODI # 2587
Africa XI,Asia XI,Asia XI,31 runs,Chennai,"Jun 9, 2007",ODI # 2588
Africa XI,Asia XI,Asia XI,13 runs,Chennai,"Jun 10, 2007",ODI # 2589
Ireland,India,India,9 wickets,Belfast,"Jun 23, 2007",ODI # 2590
Ireland,South Africa,South Africa,42 runs,Belfast,"Jun 24, 2007",ODI # 2591
India,South Africa,South Africa,4 wickets,Belfast,"Jun 26, 2007",ODI # 2592
India,South Africa,India,6 wickets,Belfast,"Jun 29, 2007",ODI # 2593
England,West Indies,England,79 runs,Lord's,"Jul 1, 2007",ODI # 2594
India,South Africa,India,6 wickets,Belfast,"Jul 1, 2007",ODI # 2595
Canada,Netherlands,Netherlands,117 runs,Toronto,"Jul 3, 2007",ODI # 2596
England,West Indies,West Indies,61 runs,Birmingham,"Jul 4, 2007",ODI # 2597
England,West Indies,West Indies,93 runs,Nottingham,"Jul 7, 2007",ODI # 2598
Netherlands,West Indies,West Indies,10 wickets,Dublin,"Jul 10, 2007",ODI # 2599
Ireland,Netherlands,Ireland,1 run,Belfast,"Jul 11, 2007",ODI # 2600
Scotland,West Indies,West Indies,4 wickets,Dublin,"Jul 12, 2007",ODI # 2601
Netherlands,Scotland,no result,,Belfast,"Jul 13, 2007",ODI # 2602
Ireland,West Indies,no result,,Dublin,"Jul 14, 2007",ODI # 2603
Ireland,Scotland,Ireland,23 runs,Belfast,"Jul 15, 2007",ODI # 2604
Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (PSS),"Jul 20, 2007",ODI # 2605
Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Colombo (RPS),"Jul 23, 2007",ODI # 2606
Sri Lanka,Bangladesh,Sri Lanka,39 runs,Colombo (RPS),"Jul 25, 2007",ODI # 2607
Scotland,India,India,7 wickets,Glasgow,"Aug 16, 2007",ODI # 2608
Netherlands,Bermuda,Netherlands,172 runs,Rotterdam,"Aug 18, 2007",ODI # 2609
Netherlands,Bermuda,Netherlands,8 wickets,Rotterdam,"Aug 20, 2007",ODI # 2610
England,India,England,104 runs,Southampton,"Aug 21, 2007",ODI # 2611
Zimbabwe,South Africa,South Africa,5 wickets,Bulawayo,"Aug 22, 2007",ODI # 2612
England,India,India,9 runs,Bristol,"Aug 24, 2007",ODI # 2613
Zimbabwe,South Africa,South Africa,8 wickets,Harare,"Aug 25, 2007",ODI # 2614
Zimbabwe,South Africa,South Africa,28 runs,Harare,"Aug 26, 2007",ODI # 2615
England,India,England,42 runs,Birmingham,"Aug 27, 2007",ODI # 2616
England,India,England,3 wickets,Manchester,"Aug 30, 2007",ODI # 2617
England,India,India,38 runs,Leeds,"Sep 2, 2007",ODI # 2618
England,India,India,2 wickets,The Oval,"Sep 5, 2007",ODI # 2619
England,India,England,7 wickets,Lord's,"Sep 8, 2007",ODI # 2620
India,Australia,no result,,Bengaluru,"Sep 29, 2007",ODI # 2621
Sri Lanka,England,Sri Lanka,119 runs,Dambulla,"Oct 1, 2007",ODI # 2622
India,Australia,Australia,84 runs,Kochi,"Oct 2, 2007",ODI # 2623
Sri Lanka,England,England,65 runs,Dambulla,"Oct 4, 2007",ODI # 2624
India,Australia,Australia,47 runs,Hyderabad (Deccan),"Oct 5, 2007",ODI # 2625
Sri Lanka,England,England,2 wickets,Dambulla,"Oct 7, 2007",ODI # 2626
India,Australia,India,8 runs,Chandigarh,"Oct 8, 2007",ODI # 2627
Sri Lanka,England,England,5 wickets,Colombo (RPS),"Oct 10, 2007",ODI # 2628
India,Australia,Australia,9 wickets,Vadodara,"Oct 11, 2007",ODI # 2629
Sri Lanka,England,Sri Lanka,107 runs,Colombo (RPS),"Oct 13, 2007",ODI # 2630
India,Australia,Australia,18 runs,Nagpur,"Oct 14, 2007",ODI # 2631
India,Australia,India,2 wickets,Mumbai,"Oct 17, 2007",ODI # 2632
Pakistan,South Africa,South Africa,45 runs,Lahore,"Oct 18, 2007",ODI # 2633
Kenya,Canada,Kenya,4 wickets,Nairobi (Gym),"Oct 18, 2007",ODI # 2634
Pakistan,South Africa,Pakistan,25 runs,Lahore,"Oct 20, 2007",ODI # 2635
Kenya,Canada,Kenya,4 wickets,Nairobi (Gym),"Oct 20, 2007",ODI # 2636
Pakistan,South Africa,Pakistan,6 wickets,Faisalabad,"Oct 23, 2007",ODI # 2637
Kenya,Bermuda,Kenya,8 wickets,Nairobi (Gym),"Oct 25, 2007",ODI # 2638
Pakistan,South Africa,South Africa,7 wickets,Multan,"Oct 26, 2007",ODI # 2639
Kenya,Bermuda,Kenya,3 wickets,Nairobi (Gym),"Oct 27, 2007",ODI # 2640
Kenya,Bermuda,Kenya,1 wicket,Nairobi (Gym),"Oct 28, 2007",ODI # 2641
Pakistan,South Africa,South Africa,14 runs,Lahore,"Oct 29, 2007",ODI # 2642
India,Pakistan,India,5 wickets,Guwahati,"Nov 5, 2007",ODI # 2643
India,Pakistan,Pakistan,4 wickets,Mohali,"Nov 8, 2007",ODI # 2644
India,Pakistan,India,46 runs,Kanpur,"Nov 11, 2007",ODI # 2645
India,Pakistan,India,6 wickets,Gwalior,"Nov 15, 2007",ODI # 2646
India,Pakistan,Pakistan,31 runs,Jaipur,"Nov 18, 2007",ODI # 2647
South Africa,New Zealand,South Africa,2 wickets,Durban,"Nov 25, 2007",ODI # 2648
Zimbabwe,West Indies,Zimbabwe,30 runs,Harare,"Nov 30, 2007",ODI # 2649
South Africa,New Zealand,New Zealand,7 wickets,Port Elizabeth,"Nov 30, 2007",ODI # 2650
Zimbabwe,West Indies,West Indies,110 runs,Harare,"Dec 2, 2007",ODI # 2651
South Africa,New Zealand,South Africa,5 wickets,Cape Town,"Dec 2, 2007",ODI # 2652
Zimbabwe,West Indies,West Indies,6 wickets,Harare,"Dec 4, 2007",ODI # 2653
Zimbabwe,West Indies,West Indies,5 wickets,Bulawayo,"Dec 7, 2007",ODI # 2654
Australia,New Zealand,Australia,7 wickets,Adelaide,"Dec 14, 2007",ODI # 2655
Australia,New Zealand,no result,,Sydney,"Dec 16, 2007",ODI # 2656
Australia,New Zealand,Australia,114 runs,Hobart,"Dec 20, 2007",ODI # 2657
New Zealand,Bangladesh,New Zealand,6 wickets,Auckland,"Dec 26, 2007",ODI # 2658
New Zealand,Bangladesh,New Zealand,102 runs,Napier,"Dec 28, 2007",ODI # 2659
New Zealand,Bangladesh,New Zealand,10 wickets,Queenstown,"Dec 31, 2007",ODI # 2660
South Africa,West Indies,South Africa,6 wickets,Centurion,"Jan 20, 2008",ODI # 2661
Pakistan,Zimbabwe,Pakistan,104 runs,Karachi,"Jan 21, 2008",ODI # 2662
Pakistan,Zimbabwe,Pakistan,5 wickets,Hyderabad (Sind),"Jan 24, 2008",ODI # 2663
South Africa,West Indies,South Africa,86 runs,Cape Town,"Jan 25, 2008",ODI # 2664
Pakistan,Zimbabwe,Pakistan,37 runs,Multan,"Jan 27, 2008",ODI # 2665
South Africa,West Indies,South Africa,7 wickets,Port Elizabeth,"Jan 27, 2008",ODI # 2666
Pakistan,Zimbabwe,Pakistan,7 wickets,Faisalabad,"Jan 30, 2008",ODI # 2667
South Africa,West Indies,South Africa,5 wickets,Durban,"Feb 1, 2008",ODI # 2668
Pakistan,Zimbabwe,Pakistan,7 wickets,Sheikhupura,"Feb 2, 2008",ODI # 2669
Australia,India,no result,,Brisbane,"Feb 3, 2008",ODI # 2670
South Africa,West Indies,South Africa,8 wickets,Johannesburg,"Feb 3, 2008",ODI # 2671
India,Sri Lanka,no result,,Brisbane,"Feb 5, 2008",ODI # 2672
Australia,Sri Lanka,Australia,128 runs,Sydney,"Feb 8, 2008",ODI # 2673
New Zealand,England,New Zealand,6 wickets,Wellington,"Feb 9, 2008",ODI # 2674
Australia,India,India,5 wickets,Melbourne,"Feb 10, 2008",ODI # 2675
India,Sri Lanka,Sri Lanka,8 wickets,Canberra,"Feb 12, 2008",ODI # 2676
New Zealand,England,New Zealand,10 wickets,Hamilton,"Feb 12, 2008",ODI # 2677
New Zealand,England,England,6 wickets,Auckland,"Feb 15, 2008",ODI # 2678
Australia,Sri Lanka,Australia,63 runs,Perth,"Feb 15, 2008",ODI # 2679
Australia,India,Australia,50 runs,Adelaide,"Feb 17, 2008",ODI # 2680
